,id,name,type,required,formula,is_hidden,visibility_rules,referred_list,lookup_type,lookup_source,lookup_fields,lookup_hidden_fields,lookup_filter,under,Start,Initiate,Goto-Active,Draft,Submit For Review,Approved,Test,Rejected,Goto-Submit For Review,Submit Without Review,Update,Goto-Draft,Draft Approved,Active,Active Step,Submit for review,Reject,Goto-Submit for review,Temp,Adjust,Contract Cancel,Extend,Goto-Extend,Goto-Active Step,Approve,Extend Reject,Renew,Goto-Renew,Renew Approve,Renew Reject,Cancelled Contract,Done,Completed
Temp,Temp,Temp,Text,False,-,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
temp_date,temp_date,temp date,Date,False,-,True,-,-,-,-,-,-,-,Contract Management ,Hidden,ReadOnly,ReadOnly,Hidden,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
RenewalExtension_date_Renew,RenewalExtension_date_Renew,Renewal date,Date,True,Renewal_Date,True,-,-,-,-,-,-,-,Contract Management ,Hidden,ReadOnly,ReadOnly,Hidden,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
RenewalExtension_end_date_Renew,RenewalExtension_end_date_Renew,Renewal end date,Date,False,"if(Options !=""None"",Renewal_end_date,Renewal_End_Date_Choose)",True,-,-,-,-,-,-,-,Contract Management ,Hidden,ReadOnly,ReadOnly,Hidden,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
check_renew_end_date,check_renew_end_date,check renew end date,Date,False,-,True,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
check_renewal_date,check_renewal_date,check renewal date,Date,False,-,True,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Renewal_Date,Renewal_Date,Renewal Date,Date,False,-,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Renewal_end_date,Renewal_end_date,Renewal End Date (Auto Calculate),Date,False,"if(Renew_Options=""1 years"",Renewal_Date+365*1,if(Renew_Options=""2 years"",Renewal_Date+365*2,if(Renew_Options=""3 years"",Renewal_Date+365*3,if(Renew_Options=""4 years"",Renewal_Date+365*4,if(Renew_Options=""5 years"",Renewal_Date+365*5,Ends_Expiration_Date)))))",True,"Field visibility rules - Match All: 
- RenewalExtension_date_Renew NOT_EMPTY -Value
- Renew_Options NOT_EQUAL_TO None-Value
",-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Renewal_End_Date_Choose,Renewal_End_Date_Choose,Renewal End Date (Choose),Date,False,-,False,"Field visibility rules - Match All: 
- RenewalExtension_date_Renew NOT_EMPTY -Value
- Renew_Options NOT_EQUAL_TO None-Value
",-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Renewal_Extension_Section,Renewal_Extension_Section,Renewal/Extension Section,Boolean,False,-,False,-,-,-,-,-,-,-,Contract Management ,Hidden,ReadOnly,ReadOnly,Hidden,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,Editable,ReadOnly,Hidden,Editable,ReadOnly,ReadOnly,Editable,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Financial_Section,Financial_Section,Financial Section,Boolean,False,-,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,Hidden,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,Hidden,Editable,ReadOnly,ReadOnly,Editable,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Check_Enxtend_End_Date_or_Not,Check_Enxtend_End_Date_or_Not,Check Enxtend End Date or Not,Text,False,-,True,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Check_Extend_End_Date_Exit_or_Not,Check_Extend_End_Date_Exit_or_Not,Check Extend End Date Exit or Not,Text,False,"if(OR(not(isBlank(Extension_End_Date)),not(isBlank(Choose_Extension_End_Date))),""Not Empty"",""Empty"")",False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Calculated_Extend_End_Date,Calculated_Extend_End_Date,Calculated Extend End Date (General),Date,False,"if(Do_you_want_to_choose_extension_end_date=""Extension Option"",Extension_End_Date,Choose_Extension_End_Date)


",False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Calculated_Renew_End_Date_General,Calculated_Renew_End_Date_General,Calculated Renew End Date (General),Date,False,"if(Renew_Options=""None"",Renewal_End_Date_Choose,Renewal_end_date)",False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Contract_Approve_Emails,Contract_Approve_Emails,Contract Approve Emails,Reference,False,-,False,-,-,Dataset,CMS_Approver_Group,"Name, Contract_Approver_Name, Contract_Approver_Email, Team_Name, Approvers_Email_Group",-,"Filter 1 - (Match All) :
- Team_Name EQUAL_TO Login_User_Team-Field
",Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Approvers,Approvers,Approvers,Text,False,Contract_Approver_Info.Approvers_Email_Group,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Calculated_Ends_Expire_Date_General,Calculated_Ends_Expire_Date_General,Calculated Ends Expire Date (General),Date,False,"if(isBlank(Updated_Ends_Expiration_Date),Ends_Expiration_Date,Updated_Ends_Expiration_Date)
",False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Renewal_Extension_date_before_renew_or_extend,Renewal_Extension_date_before_renew_or_extend,Renewal/Extension date,Date,False,-,True,"Field visibility rules - Match All: 
- Calculated_Extend_End_Date NOT_EMPTY -Value
- Calculated_Renew_End_Date_General NOT_EMPTY -Value
",-,-,-,-,-,-,Contract Management ,Hidden,ReadOnly,ReadOnly,Hidden,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Check_Extend_or_Renew,Check_Extend_or_Renew,Check Extend or Renew,Text,False,"if(Extend_btn=true(),""Extend"",if(Renew_btn=true(),""Renew"",if(Cancel_Contract_btn=true(),""Cancel"",""None""))))",False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Origional_Ends_Expire_Date,Origional_Ends_Expire_Date,Origional Ends Expire Date (General),Date,False,Ends_Expiration_Date,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Original_Start_Effective_Date_General,Original_Start_Effective_Date_General,Original Start Effective Date (General),Date,False,-,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
DateTimeNow,DateTimeNow,DateTimeNow,DateTime,False,now(),False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
DateTimeNow_Text,DateTimeNow_Text,DateTimeNow Text,Text,False,DateTimeNow.toText(),False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Check_Temp_Date_Blank_or_Not,Check_Temp_Date_Blank_or_Not,Check Temp Date Blank or Not,Date,False,"if(isBlank(temp_date),Origional_Ends_Expire_Date,temp_date)",False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Submit_For_Review_Text,Submit_For_Review_Text,Submit For Review Text,Text,False,Current_Step,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Submit_Draft,Submit_Draft,Submit Draft,Text,False,-,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Submit_For_Review_is_True,Submit_For_Review_is_True,Submit For Review is True,Text,False,"if(AND(Current_Step=""Active"",Select_Option_Draft=""Submit For Review""),""True"",""False""))",False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Calculated_RenewalExtension_date_General,Calculated_RenewalExtension_date_General,Calculated Renewal/Extension date (General),Date,False,"if(isBlank(Renewal_Extension_date_before_renew_or_extend),Ends_Expiration_Date_Updated,Renewal_Extension_date_before_renew_or_extend)",False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Map_CMS_Info_Dataset_Key_ID,Map_CMS_Info_Dataset_Key_ID,Map CMS Info Dataset Key ID,Text,False,"concatenate(Contract_Number,""-"",concatenate(DateTimeNow.year().toText(), DateTimeNow.month().toText(), DateTimeNow.day().toText(), DateTimeNow.hour().toText(), DateTimeNow.minute().toText(), DateTimeNow.second().toText()))",False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Get_Dataset_Key_ID_from_CMS,Get_Dataset_Key_ID_from_CMS,Get Dataset Key ID from CMS,Text,False,-,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Check_Duplicate_Contract_Number,Check_Duplicate_Contract_Number,Check Duplicate Contract Number,Text,False,-,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Check_Step_and_Expired_State,Check_Step_and_Expired_State,Check Step and Expired State,Text,False,"IF(AND(State=""Expired"",(Current_Step=""Draft"" || Current_Step=""Active"" || Current_Step=""Extend"" || Current_Step=""Renew"")),""True"",""False"")",False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Cancellation_Reason,Cancellation_Reason,Cancellation Reason,Textarea,True,-,True,"Field visibility rules - Match All: 
- Cancel_Contract_btn EQUAL_TO true-Value
",-,-,-,-,-,-,Contract Management ,Hidden,ReadOnly,ReadOnly,Editable,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,Editable,ReadOnly,Hidden,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,Editable,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
gat_data_from_tbl,gat_data_from_tbl,gat data from tbl,Text,False,-,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Ends_Expire_Date_Reject_General,Ends_Expire_Date_Reject_General,Ends Expire Date,Date,False,-,True,"Field visibility rules - Match All: 
- Current_Step EQUAL_TO Reject-Value
- Current_Step EQUAL_TO Rejected-Value
",-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,Hidden,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Check_Extend_End_Date_or_Option,Check_Extend_End_Date_or_Option,Check Extend End Date or Option,Date,False,"if(Do_you_want_to_choose_extension_end_date=""Extension Option"",Extension_End_Date,Choose_Extension_End_Date)",False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Renewal_Extension_End_Date_Updated,Renewal_Extension_End_Date_Updated,Renewal Extension End Date,Date,False,-,False,-,-,-,-,-,-,-,Contract Management ,Hidden,ReadOnly,ReadOnly,Hidden,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Dummy_Date,Dummy_Date,Dummy Date,Date,False,-,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Login_User_Team_Email,Login_User_Team_Email,Login User Team Email,Text,False,Login_User.Team_Email,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Check_Reject_Reason,Check_Reject_Reason,Check Reject Reason,Text,False,"if(Approving = ""Reject"",""True"",""False"")",False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Reject_Warning_Message,Reject_Warning_Message,*** Warning Message ***,Text,True,"if(Check_Reject_Reason=""False"",""Please type reason of the reject."",""Please type reason of the reject."")",True,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
